sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
"He took <CSI> light insults </CSI> from opposing fans at the game, knowing it was all in the name of <CSI> sportsmanship </CSI>.","Americans are passionate about sports, and light-hearted banter between fans of opposing teams is a common part of sports culture.",Social Tradition,Customs,Semi-visible
He maintained <CSI> composure </CSI> despite frustration avoiding <CSI> emotional outbursts </CSI>.,Maintaining composure during conflicts reflects British emotional control expectations.,Social Etiquette,Appropriacy,Semi-visible
She asked the neighbor to <CSI> lower the music volume </CSI> late at night.,Requesting noise reduction asserts personal boundaries in Western residential etiquette.,Social Etiquette,Appropriacy,Semi-visible
"He refrained from sharing his thoughts on <CSI> religion </CSI> at the dinner table, as it can be a sensitive subject in America.","Religion is a personal and sensitive topic in American culture, and it is best to avoid discussing it unless you know the individual’s stance.",Social Etiquette,Appropriacy,Semi-visible
He's the star <CSI> quarterback </CSI> for the varsity football team.,The quarterback is a key position in American football and often a prominent figure in high school sports.,Sports Tradition,Visible Behaviour,Visible
"While preparing for his sister's wedding, he noticed that his sister and her fiancé had agreed to <CSI> share household responsibilities </CSI> equally, a shift from their parents' <CSI> traditional roles </CSI>.","Younger generations in Britain are moving away from traditional roles, with couples increasingly agreeing to share household responsibilities equally, emphasizing equality in household duties.",Social Tradition,Structure,Invisible
You should <CSI> avoid asking overly personal questions </CSI> when meeting someone for the first time.,"In English culture, avoiding overly personal questions when first meeting someone shows respect for personal boundaries, but in other cultures, personal questions may signal warmth and interest.",Social Etiquette,Appropriacy,Semi-visible
Leaders should <CSI> embrace change </CSI> rather than resist new methods.,Embracing change reflects Western workplace adaptability values.,Workplace Culture,Thinking,Invisible
"They met through a <CSI> dating app </CSI>, swiping right on each other’s profiles before going out for coffee.","Meeting through a dating app reflects modern dating practices and lifestyles, with technology playing a key role in forming relationships in western societies.",Cultural Reference,Institutions,Visible
The family attends <CSI> Little League games </CSI> every Saturday during baseball season.,Little League fields host youth baseball games central to American suburban family life.,Sports Tradition,Institutions,Visible
Comedians use <CSI> observational humor </CSI> to <CSI> challenge social norms </CSI> gently.,Observational humor critiques society through gentle mockery in British entertainment.,Social Tradition,Customs,Semi-visible
He let the woman go ahead of him in the <CSI> queue </CSI> since they both arrived at the same time.,Allowing someone to go ahead in a line when arriving simultaneously is a polite gesture in American culture.,Social Etiquette,Appropriacy,Semi-visible
The company has a <CSI> casual Friday policy </CSI> where we can wear jeans.,Casual Friday policies allowing relaxed dress codes reflect American work-life balance values.,Workplace Culture,Workplace Customs,Semi-visible
"He observed that British people are <CSI> waiting longer </CSI> to start families, reflecting a focus on <CSI> career </CSI> and personal growth before marriage and children.","British people are waiting longer to start families, with the average age for life events like marriage and childbirth rising, reflecting a growing individualist orientation and prioritization of career and personal aspirations.",Cultural Reference,Structure,Invisible
"She donated to a group working to protect <CSI> wild horses </CSI>, seeing them as symbols of America’s untamed spirit.","Wild horses are seen as living symbols of America’s frontier spirit and natural beauty, inspiring conservation efforts.",Cultural Value,Environment,Invisible
He’s always talking about his <CSI> side hustle </CSI> to make extra money.,A side hustle refers to a secondary job or gig undertaken to earn additional income in American culture.,Workplace Culture,Action,Invisible
She avoided wandering into <CSI> closed rooms </CSI> maintaining respect for private spaces.,Avoiding closed rooms respects British household privacy boundaries and personal spaces.,Social Etiquette,Appropriacy,Semi-visible
He ordered <CSI> bangers and mash </CSI> at the traditional British pub.,Bangers and mash is a classic British comfort food dish served in pubs.,Cultural Reference,Food and Drink,Visible
Summer weather means women wear <CSI> shorts </CSI> and <CSI> tank tops </CSI> as acceptable <CSI> casual clothing </CSI>.,Revealing summer clothing for women is socially accepted in American casual contexts.,Social Tradition,Ways of Dress,Semi-visible
"Before attending the meeting, she sent out a <CSI> written agenda </CSI> to all participants, knowing that everyone prefers to know the objectives of a meeting in advance.","Sharing a written agenda before a meeting is common in Western culture, as it helps participants prepare and ensures the discussion stays focused.",Workplace Culture,Structure,Invisible
<CSI> Phased retirement </CSI> allows gradual transition from full-time work.,Phased retirement provides flexible British workforce exit strategies.,Social Tradition,Structure,Invisible
Couples increasingly choose <CSI> cohabitation </CSI> before or instead of marriage.,Cohabitation reflects changing Western attitudes toward marriage and commitment.,Social Tradition,Action,Invisible
The <CSI> Gothic cathedral </CSI> dominates the city skyline with its spires.,Gothic cathedrals represent European medieval architectural achievements and religious heritage.,Cultural Reference,Architecture,Visible
The community organized a <CSI> veterans parade </CSI> to honor service members.,Veterans parades celebrate military service in American patriotic traditions.,Social Tradition,Structure,Invisible
He's been <CSI> freelancing </CSI> as a graphic designer on weekends for extra income.,Freelancing is a common way to earn additional income outside traditional employment in Western culture.,Workplace Culture,Action,Invisible
We’re having a <CSI> yard sale </CSI> this weekend to declutter the house.,Yard sales are a common way to sell used items in American neighborhoods.,Social Tradition,Customs,Semi-visible
The local <CSI> rugby club </CSI> hosts matches every Saturday during season.,Rugby clubs maintain British sporting traditions through regular community matches.,Sports Tradition,Institutions,Visible
"European capital cities ring in the New Year with <CSI> fireworks </CSI>, concerts, and festive traditions.","New Year's celebrations in Europe are known for their grandeur, featuring fireworks, concerts, and cultural significance.",Social Tradition,Rituals,Semi-visible
We’re going to a <CSI> craft beer festival </CSI> this weekend.,Craft beer festivals celebrate the popular American craft brewery culture.,Social Tradition,Food and Drink,Visible
"He <CSI> avoided re-gifting the item </CSI>, knowing it would be considered <CSI> insulting </CSI> if the original giver found out.","Avoiding re-gifting an item is important in American culture, as re-gifting or discarding a gift is considered insulting and disrespectful, potentially hurting the feelings of the original giver if discovered.",Social Etiquette,Appropriacy,Semi-visible
Fans exchanged <CSI> playful trash talk </CSI> displaying good-natured <CSI> rivalry </CSI> at the tailgate.,Playful trash talk between rival fans is acceptable within British sports culture boundaries.,Social Tradition,Customs,Semi-visible
Use <CSI> proper grammar and punctuation </CSI> in all business correspondence.,Using proper grammar and punctuation demonstrates professionalism in Western workplace writing.,Workplace Culture,Appropriacy,Semi-visible
She’s a <CSI> bookworm </CSI> who spends all her free time reading.,A bookworm is a term for someone who loves reading.,Cultural Reference,Thinking,Invisible
"Riding his <CSI> Harley </CSI> down the open highway, he feels a sense of freedom that’s uniquely American.","Harley-Davidson motorcycles are iconic in American culture, representing a spirit of independence and adventure.",Cultural Reference,Action,Invisible
He learned proper <CSI> utensil placement </CSI> when finished eating to signal completion.,Utensil placement signals meal completion in Western formal dining communication.,Social Etiquette,Customs,Semi-visible
He was surprised that laws about <CSI> drugs </CSI> and the <CSI> death penalty </CSI> varied so much between <CSI> states </CSI>.,"In the U.S., state laws differ significantly, including on controversial issues like drug regulations and the death penalty.",Social Tradition,Institutions,Visible
"She admired the intricate details of the <CSI> Munro Ring </CSI>, with its pearl and old European cut diamond.","Munro RIng is an embodiment of intricate European craftsmanship, which is renowned for its precision and timeless elegance.",Cultural Reference,Art,Visible
Companies host <CSI> lunch and learn sessions </CSI> to share knowledge internally.,Lunch and learn sessions combine education with casual dining in Western workplaces.,Workplace Culture,Workplace Norms,Semi-visible
The British tourists were shocked when people didn't <CSI> queue </CSI> properly at the train station.,Queuing is such a deeply ingrained British norm that its absence elsewhere is noticeable to British people.,Social Etiquette,Customs,Semi-visible
She wrapped the <CSI> present carefully </CSI> showing attention to presentation details.,Careful wrapping demonstrates British gift-giving effort and consideration.,Social Tradition,Customs,Semi-visible
She enjoys <CSI> scrapbooking </CSI> to preserve family memories.,"Scrapbooking involves crafting albums with photos and memorabilia, popular among American women as both creative expression and memory preservation.",Social Tradition,Action,Invisible
Students recite the <CSI> Pledge of Allegiance </CSI> every morning demonstrating school <CSI> patriotism </CSI>.,Daily Pledge of Allegiance recitation instills patriotic values in American school routines.,Social Tradition,Rituals,Semi-visible
He provides <CSI> mentorship </CSI> that enables others to succeed autonomously.,Mentorship focuses on building capabilities for American self-reliance ideals.,Social Etiquette,Action,Invisible
The American politician usually ended speeches with <CSI> 'God bless America' </CSI> regardless of the topic.,"Invoking religion in political speeches is a common American practice, reflecting the nation's cultural ties to faith and patriotism.",Workplace Culture,Thinking,Invisible
Don’t forget to <CSI> RSVP </CSI> for the wedding by next week!,RSVP (a response to an event invitation) is a formal expectation in Western social gatherings.,Social Etiquette,Customs,Semi-visible
"We’re going to a <CSI> rodeo </CSI> this weekend,there’ll be bull riding and cowboy hats.","Rodeos are events featuring traditional cowboy skills and competitions, central to American Western culture.",Social Tradition,Rituals,Semi-visible
The collection of <CSI> folk songs </CSI> preserves regional European musical heritage.,Folk songs maintain European cultural identity through traditional musical storytelling.,Cultural Reference,Art,Visible
"She's the <CSI> girl next door </CSI> type, friendly and approachable to everyone.",The girl next door represents an accessible and wholesome feminine ideal in American culture.,Cultural Stereotype,Stereotype,Invisible
"At this startup, everyone goes by their <CSI> first name </CSI>, even the founders.",Using first names across hierarchy levels reflects the casual and egalitarian culture in American startups.,Workplace Culture,Appropriacy,Semi-visible
"Despite their fame, many British actors are known for being <CSI> down-to-earth </CSI> and approachable.","British actors are often praised for their humility, contrasting with the flashier reputations of Hollywood stars.",Cultural Value,Thinking,Invisible
They’re planning a <CSI> camping trip </CSI> in the national park this summer.,Camping trips in national parks are a popular outdoor activity in American culture.,Social Tradition,Rituals,Semi-visible
She's become a real <CSI> helicopter parent </CSI> since the kids started middle school.,A helicopter parent is someone who is overly involved in their children's lives in American culture.,Cultural Stereotype,Stereotype,Invisible
"They’ve been <CSI> living together </CSI> for years but haven’t married, preferring to keep things flexible for now.","Cohabitation reflects changing attitudes toward marriage in western societies, with many prioritizing flexibility and partnership over legal ties.",Social Tradition,Action,Invisible
She’s always using <CSI> polite requests like 'Would you mind...?' </CSI> to avoid sounding demanding.,Polite requests like 'Would you mind...?' are a hallmark of British communication.,Social Etiquette,Styles of Discourse,Semi-visible
"During the meeting, the American executive <CSI> got straight to the point </CSI> without extended pleasantries.","Direct communication is a hallmark of American business culture, prioritizing efficiency over lengthy formalities.",Workplace Culture,Communication,Invisible
He values <CSI> modesty </CSI> over self-promotion in professional settings.,Modesty represents British cultural preference for understated self-presentation over boasting.,Cultural Value,Thinking,Invisible
He wore a tailored <CSI> suit </CSI> to the <CSI> job interview </CSI> but dressed in casual <CSI> jeans </CSI> and a t-shirt for the <CSI> barbecue </CSI>.,"Clothing choices in western societies are context-dependent, with formal attire expected for professional settings and casual wear acceptable for informal occasions.",Social Etiquette,Ways of Dress,Semi-visible
The scout troop is going on a <CSI> camping trip </CSI> in the mountains next weekend.,Camping trips are common youth group activities teaching outdoor skills in American culture.,Social Tradition,Rituals,Semi-visible
She <CSI> removed price tags </CSI> from gifts before wrapping them for friends.,Removing price tags preserves gift mystery and thoughtfulness in Western traditions.,Social Etiquette,Appropriacy,Semi-visible
He’s a <CSI> dog lover </CSI> who volunteers at the local animal shelter.,A dog lover refers to someone with a strong affection for dogs.,Cultural Reference,Action,Invisible
She kept unwanted gifts rather than <CSI> regifting them </CSI> to avoid offense.,Avoiding regifting respects original givers' thoughtfulness in Western gift customs.,Social Etiquette,Appropriacy,Semi-visible
"At summer camps, children often gather around the <CSI> campfire </CSI> to share stories and roast marshmallows.",Campfire gatherings are a quintessential part of the American summer camp experience.,Social Tradition,Rituals,Semi-visible
They always stop at <CSI> roadside diners </CSI> when driving cross-country.,Roadside diners are iconic American stops offering local flavor during long-distance travel.,Social Tradition,Customs,Semi-visible
"He delivered his feedback in a <CSI> private setting </CSI>, focusing on opportunities for improvement rather than pointing out flaws <CSI> publicly </CSI>.",Feedback in American culture is often framed positively and given privately to maintain respect and encourage improvement.,Workplace Culture,Communication,Invisible
He <CSI> called ahead </CSI> to inform the host about his delayed arrival.,Notifying hosts about lateness respects their planning in Western dinner etiquette.,Social Etiquette,Appropriacy,Semi-visible
"She avoided discussing <CSI> gun control </CSI> and terrorism during dinner, knowing these topics are sensitive in America.","Discussions about topics such as gun control, terrorism, and race relations are considered highly sensitive in American culture and can lead to heated debates.",Social Etiquette,Communication,Invisible
"He's such a <CSI> foodie </CSI>,his Instagram is all restaurant photos and food reviews.",Foodies often share their culinary experiences on social media in modern American culture.,Cultural Reference,Food and Drink,Visible
Everyone wore their team <CSI> merchandise </CSI> on game day to show support.,Wearing team merchandise demonstrates fan loyalty and creates visual unity in American sports culture.,Sports Tradition,Dress,Visible
The company encourages employees to think <CSI> outside the box </CSI> when solving problems.,Thinking outside the box' reflects the American business value of innovation and creative problem-solving over traditional methods.,Workplace Culture,Thinking,Invisible
"They enjoyed a <CSI> fish and chips supper </CSI> by the seaside, a classic British experience.","Fish and chips is a quintessential British dish, often associated with seaside towns and casual dining.",Cultural Reference,Food and Drink,Visible
"Every <CSI> Halloween </CSI>, the family gathers to carve <CSI> pumpkins </CSI>, a tradition the kids look forward to all year.","Pumpkin carving is a festive activity during Halloween, symbolizing creativity and seasonal joy in American culture.",Social Tradition,Rituals,Semi-visible
She cut her steak <CSI> one bite at a time </CSI> as appropriate for adult dining.,Cutting food one piece at a time demonstrates mature Western dining etiquette.,Social Etiquette,Appropriacy,Semi-visible
The British tourist was shocked when the restaurant didn't offer a proper <CSI> tea service </CSI>.,"A proper tea service is a deeply ingrained British cultural expectation, reflecting the importance of tea rituals in daily life.",Cultural Stereotype,Stereotype,Invisible
"When joking with his British friend, he kept a <CSI> straight face </CSI> to match the dry humour, understanding that a serious expression is often used as a <CSI> punchline </CSI> in sarcastic jokes.","In British humour, keeping a straight face is often part of the delivery and serves as a punchline, especially in sarcastic jokes, making it harder for outsiders to discern whether someone is joking.",Cultural Reference,Action,Invisible
She learned <CSI> needlework </CSI> techniques passed down through generations.,Needlework preserves traditional American craft skills across family generations.,Cultural Reference,Art,Visible
She <CSI> lowered her voice </CSI> while on the phone in the train to avoid <CSI> disturbing others </CSI>.,"Speaking loudly on cell phones in public, especially in enclosed spaces, is considered disrespectful in American culture.",Social Etiquette,Appropriacy,Semi-visible
He used <CSI> polite signals </CSI> rather than <CSI> demanding behavior </CSI> with staff.,Polite signaling reflects British respect for service worker dignity.,Social Etiquette,Appropriacy,Semi-visible
We always <CSI> trick-or-treat </CSI> in the neighborhood with the best Halloween decorations.,"Trick-or-treating is the practice of children collecting candy from houses on Halloween, a distinctive American holiday tradition.",Social Tradition,Rituals,Semi-visible
She's a <CSI> gold digger </CSI> who dates men for their wealth.,"The term 'gold digger' is an American cultural stereotype referring to a person, often female, who dates or marries for financial gain, often viewed as a negative stereotype.",Cultural Stereotype,Stereotype,Invisible
Families gather for the annual <CSI> Fourth of July parade </CSI> down Main Street.,Fourth of July parades celebrate American independence with community patriotic displays.,Social Tradition,Rituals,Semi-visible
"He's such a <CSI> weekend warrior </CSI>, only hiking and biking on Saturdays and Sundays.","A weekend warrior is a stereotype of office workers who engage in strenuous outdoor activities only on weekends, reflecting the work-leisure division in American life.",Cultural Stereotype,Action,Invisible
"She made sure to speak on her <CSI> own behalf </CSI> during the interview, knowing that Americans value <CSI> initiative </CSI> and self-advocacy.","In American culture, people are expected to openly talk about their successes and not wait for others to highlight their accomplishments.",Workplace Culture,Individualism,Invisible
We're planning to <CSI> RV across national parks </CSI> next summer.,"RV camping combines the comforts of home with outdoor experiences, representing a popular American vacation style.",Social Tradition,Environment,Invisible
Everyone says <CSI> 'hiya' </CSI> as a casual greeting in British informal settings.,Using 'hiya' is a common British informal greeting among friends and acquaintances.,Social Etiquette,Styles of Discourse,Semi-visible
She spent the weekend doing a <CSI> pub crawl </CSI>.,"A pub crawl, common in British and American nightlife, involves visiting multiple bars in one night.",Social Tradition,Rituals,Semi-visible
They gave a <CSI> cheque </CSI> for the graduation following traditional American practice.,cheques for graduations represent traditional American monetary gift-giving exceptions.,Social Etiquette,Appropriacy,Semi-visible
"She noted the rise in <CSI> same-sex cohabiting couple families </CSI> in England and Wales, though they still represent a small proportion of all families.","The number of same-sex cohabiting families in Britain has significantly increased over the years, reflecting greater acceptance of LGBTQ+ relationships.",Cultural Reference,Structure,Invisible
"After meeting through a mutual friend, they went on a few <CSI> casual dates </CSI> to get to <CSI> know each other </CSI> before deciding to pursue a committed relationship.","In British dating culture, it is common for couples to go on casual dates to get to know each other through social circles before committing to an exclusive relationship.",Social Tradition,Customs,Semi-visible
He allowed the person with fewer items to <CSI> go ahead </CSI> at checkout.,Allowing those with fewer items ahead reflects Western efficiency and courtesy balance.,Social Etiquette,Appropriacy,Semi-visible
We're going out for <CSI> happy hour </CSI> after work on Friday.,Happy hour is a workplace social tradition of discounted drinks after work in American culture.,Social Tradition,Food and Drink,Visible
"The British <CSI> royal family </CSI> continues to uphold traditions like using <CSI> formal titles </CSI>, adding to their mystique.",The use of titles by the royal family reflects the UK’s deep-rooted respect for hierarchy and tradition.,Social Tradition,Rituals,Semi-visible
"Every January, she writes down her <CSI> New Year’s resolutions </CSI>, hoping this will be the year she finally learns to cook.","New Year’s resolutions are a popular tradition in the U.S., reflecting a cultural emphasis on self-improvement and goal-setting.",Social Tradition,Rituals,Semi-visible
The startup has an <CSI> open office layout </CSI> without walls or dividers.,Open office layouts promote transparency and collaboration in modern Western workplaces.,Workplace Culture,Institutions,Visible
"Listening to a British <CSI> brass band </CSI> at the local fair, she was struck by the rich, traditional sound.","Brass bands are a cherished part of British musical heritage, often associated with community events and celebrations.",Social Tradition,Music,Visible
The <CSI> beach attire </CSI> included <CSI> bikinis </CSI> and <CSI> swimwear </CSI> for women.,Beach and swimwear reflect Western acceptance of revealing clothing in appropriate contexts.,Social Tradition,Ways of Dress,Semi-visible
The <CSI> folk music </CSI> festival celebrates British traditional songs and instruments.,Folk music festivals preserve British cultural heritage through traditional performances.,Social Tradition,Music,Visible
She maintains <CSI> quiet composure </CSI> rather than creating scenes in public.,Quiet composure prevents drawing attention in British public behavior norms.,Social Etiquette,Appropriacy,Semi-visible
The American executive gave a firm <CSI> pat on the back </CSI> to congratulate his colleague.,"A pat on the back is a common Western gesture of approval, though it may feel intrusive in cultures with stricter personal space norms.",Social Etiquette,Appropriacy,Semi-visible
"While visiting a friend’s home, he noticed that many of the doors were closed and did not ask for a <CSI> house tour </CSI>, respecting the host's privacy.","In British homes, privacy is highly valued, and it is common for doors to remain closed, with house tours not always being offered.",Social Etiquette,Appropriacy,Semi-visible
They attend <CSI> church services </CSI> every Sunday as a family tradition.,Sunday church services maintain religious community ties in Western Christian culture.,Social Tradition,Rituals,Semi-visible
<CSI> Career breaks </CSI> for childcare impact British women's professional progression.,Career interruptions for children affect British women's long-term career trajectories.,Social Tradition,Structure,Invisible
The <CSI> church </CSI> in their town features stunning <CSI> stained glass </CSI> and intricate carvings.,"European churches are architectural masterpieces, often reflecting centuries of religious and artistic tradition.",Cultural Reference,Architecture,Visible
"They invested in a second property, believing that <CSI> real estate </CSI> is the safest way to build wealth.","Real estate is seen as a stable and valuable asset in American culture, reflecting aspirations for wealth and stability.",Social Tradition,Thinking,Invisible
He always <CSI> knocks on wood </CSI> after making a hopeful statement.,Knocking on wood is a superstitious custom to prevent jinxing in Western culture.,Cultural Reference,Customs,Semi-visible
Their first date at a <CSI> cozy café </CSI> enabled <CSI> intimate discussion </CSI> and connection.,Café settings provide comfortable British first date conversation environments.,Social Tradition,Customs,Semi-visible
The hotel offers a formal <CSI> afternoon tea </CSI> service every day from 3 to 5 PM.,Traditional afternoon tea is served at specific times in British hotels and tea rooms.,Social Tradition,Food and Drink,Visible
"She never takes off her <CSI> wedding ring </CSI>, a symbol of the love and commitment she shares with her husband.",The tradition of wedding ring dates back to ancient beliefs about the 'vein of love' and is widely practiced in American weddings.,Social Tradition,Rituals,Semi-visible
"His grandfather’s old rifle, passed down through generations, is a reminder of their family’s deep connection to <CSI> gun ownership </CSI>.","Gun ownership is tied to American ideals of freedom, self-reliance, and the Second Amendment, though it remains a contentious issue.",Social Tradition,Customs,Semi-visible
We’re going to a <CSI> jazz </CSI> concert in the park tonight.,Jazz concerts celebrate the genre's deep roots in American and Western culture.,Social Tradition,Music,Visible
The medieval <CSI> church </CSI> contains beautiful <CSI> frescoes </CSI> on vaulted ceilings.,Medieval churches preserve European religious artistic traditions through architectural decoration.,Cultural Reference,Architecture,Visible
They sent out <CSI> save-the-date cards </CSI> a year before their wedding.,"Save-the-date cards are advance wedding notifications common in American wedding planning, reflecting the formality and advance planning of significant social events.",Social Tradition,Customs,Semi-visible
They're hosting a <CSI> baby shower </CSI> with games and gift registry.,Baby showers are pre-birth celebrations where guests give gifts from a registry to expecting parents.,Social Tradition,Rituals,Semi-visible
We're taking a <CSI> beach vacation </CSI> to the coast for a week in August.,Beach vacations are popular summer getaways for American families seeking relaxation.,Social Tradition,Rituals,Semi-visible
"At networking events, attendees often exchange <CSI> business cards </CSI> to facilitate future connections.",The exchange of business cards is a common professional ritual in American and British networking.,Workplace Culture,Workplace Norms,Semi-visible
The town celebrates <CSI> La Tomatina </CSI> with a massive tomato-throwing festival.,La Tomatina is a famous Spanish festival featuring a playful tomato fight among participants.,Social Tradition,Rituals,Semi-visible
"At a dinner party, she <CSI> avoided boasting </CSI> about her recent promotion, knowing that <CSI> bragging </CSI> or making ostentatious comments is often seen as obnoxious in British culture.","Humility is highly valued in British culture, and avoiding boasting or bragging is important, as appearing superior to others is generally frowned upon.",Social Etiquette,Appropriacy,Semi-visible
"When collaborating with his British team, he appreciated how the manager appeared <CSI> approachable </CSI> and part of the team, despite maintaining their authority in decision-making.","British managers often maintain a marginal power distance, appearing approachable and as part of the team while still retaining final authority in the hierarchy.",Workplace Culture,Power,Invisible
"He’s a <CSI> Yankee </CSI> through and through, proud of his New England roots and American heritage.","Yankee' is a term often used to describe Americans, particularly those from the Northern states, with a strong sense of cultural identity.",Cultural Stereotype,Thinking,Invisible
"The exhibition showcased craftsmanship, from intricate <CSI> woodwork </CSI> to delicate glassware.","European craftsmanship is celebrated for its precision and artistry, often showcased in museums and exhibitions.",Cultural Reference,Art,Visible
They decided to <CSI> elope </CSI> instead of planning a traditional wedding.,Eloping is a private marriage alternative avoiding large traditional wedding celebrations in Western culture.,Social Tradition,Rituals,Semi-visible
"She gave her friend a <CSI> bouquet of roses </CSI>, knowing they symbolized love and gratitude in European culture.","Flowers like roses and lilies carry deep meanings in Europe, often used to express emotions in personal and cultural contexts.",Cultural Reference,Rituals,Semi-visible
People make <CSI> chitchat about weekend plans </CSI> before business meetings start.,Chitchat about weekends eases into professional discussions in Western meeting culture.,Social Etiquette,Styles of Discourse,Semi-visible
He values <CSI> individual liberty </CSI> above collective obligations.,Individual liberty represents core Western philosophical and political values.,Cultural Value,Thinking,Invisible
He has a <CSI> cubicle job </CSI> and spends most of his day at his desk.,"Cubicles are a staple of American office spaces, promoting individual workspaces within an open environment.",Workplace Culture,Institutions,Visible
"He’s a <CSI> gym rat </CSI>, spending hours at the gym every day to stay in shape.",Gym rat' is a term used to describe someone who is obsessed with fitness and spends a lot of time working out.,Cultural Stereotype,Action,Invisible
He understood American <CSI> cultural diversity </CSI> extends beyond surface-level observations.,Cultural diversity within America requires nuanced understanding beyond stereotypes.,Cultural Stereotype,Thinking,Invisible
The team demonstrated <CSI> problem-solving skills </CSI> during the crisis.,Problem-solving abilities are highly valued actions in Western workplace competency.,Workplace Culture,Action,Invisible
"She’s a <CSI> shopaholic </CSI>, always on the lookout for the latest fashion trends.","Shopaholic' refers to someone who is addicted to shopping, often seen as a cultural stereotype in consumer-driven societies.",Cultural Stereotype,Individualism,Invisible
Everyone says <CSI> 'lovely' </CSI> constantly to describe anything positive in Britain.,Using 'lovely' frequently as a positive descriptor is a characteristic British speech pattern.,Social Etiquette,Styles of Discourse,Semi-visible
"We're going to the <CSI> prom </CSI> next month, I need to find the perfect dress!",Prom is a formal dance event celebrating high school students in American culture.,Social Tradition,Rituals,Semi-visible
Her parents' <CSI> late-life divorce </CSI> followed decades of marriage.,Late-life divorces reflect British willingness to end unfulfilling long marriages.,Social Tradition,Structure,Invisible
She politely requested to <CSI> skip ahead </CSI> explaining her urgent medical appointment.,Requesting to skip with explanation maintains etiquette during American queue emergencies.,Social Etiquette,Appropriacy,Semi-visible
"He’s always making <CSI> small talk </CSI> about the weather,it’s such a British thing.",Small talk about the weather is a common icebreaker in British culture.,Social Etiquette,Styles of Discourse,Semi-visible
The audience rose to their feet giving him a <CSI> standing ovation </CSI> for ten minutes.,Extended standing ovations demonstrate extraordinary appreciation in Western performance culture.,Social Etiquette,Rituals,Semi-visible
He uses <CSI> positive framing </CSI> when discussing areas needing improvement.,Positive framing maintains motivation while addressing issues in American communication styles.,Workplace Culture,Communication,Invisible
You should avoid using casual text <CSI> slang like 'lol' or 'omg' </CSI> in professional emails.,"English workplace communication avoids using casual text slang like 'lol' or 'omg' and other informal language in professional emails, but in other cultures, the boundaries between formal and informal styles may differ.",Workplace Culture,Appropriacy,Semi-visible
"Visiting a British <CSI> castle </CSI>, she marveled at how <CSI> well-preserved </CSI> it was, untouched by modern alterations.","Castles in the UK are often preserved as historical landmarks, reflecting the nation’s pride in its medieval heritage.",Cultural Reference,Architecture,Visible
"They love sitting on their <CSI> porch </CSI>, looking out at their white <CSI> picket fence </CSI>, a symbol of their hard-earned suburban dream.","The white picket fence represents the idealized American dream of homeownership, stability, and family life in suburban neighborhoods.",Cultural Reference,Architecture,Visible
They’re going on a <CSI> road trip </CSI> across Route 66 this summer.,"Road trips, such as on Route 66, embody the American spirit of freedom and travel adventure.",Social Tradition,Institutions,Visible
They practice <CSI> honest dialogue </CSI> to address interpersonal issues promptly.,Honest dialogue prevents problem escalation in American direct communication culture.,Social Etiquette,Communication,Invisible
The <CSI> church bazaar </CSI> raises funds through games and homemade goods.,Church bazaars combine British community fundraising with social traditions.,Social Tradition,Rituals,Semi-visible
We're throwing him a <CSI> bachelor party </CSI> the weekend before the wedding.,"A bachelor party is a pre-wedding celebration for the groom, representing gendered social rituals around marriage in Western culture.",Social Tradition,Rituals,Semi-visible
She loves going to the <CSI> pub </CSI> for a pint after work.,Going to the pub is a common British social activity often associated with relaxation and socializing.,Social Tradition,Environment,Invisible
"Every Friday night, her grandmother heads to the local <CSI> bingo hall </CSI>, a ritual she’s enjoyed for decades.","Bingo is a beloved pastime in the UK, often played in community halls and fostering social connections.",Social Tradition,Rituals,Semi-visible
"While negotiating a deal, she avoided playing <CSI> dirty </CSI> or being overly aggressive, knowing that the British value <CSI> ‘fair play’ </CSI> and would remember any unethical behavior.","Fair play is a core value in British business culture, and playing dirty or engaging in unethical or overly competitive behaviour is frowned upon and remembered negatively.",Workplace Culture,Appropriacy,Semi-visible
The first thing she did after hearing the bad news was put the kettle on for a <CSI> cup of tea </CSI>.,Making tea is the British default response to any crisis or emotional situation.,Social Tradition,Rituals,Semi-visible
<CSI> Nuclear families </CSI> remain the predominant household structure in Britain.,Nuclear families constitute the most common British household arrangement type.,Social Tradition,Structure,Invisible
The <CSI> town hall </CSI> building houses local government and community meetings.,Town halls serve as centers for American local democratic governance and civic engagement.,Social Tradition,Institutions,Visible
She's a <CSI> basic </CSI> girl who loves pumpkin spice lattes and yoga pants.,Basic describes people who follow mainstream trends in American pop culture stereotypes.,Cultural Stereotype,Stereotype,Invisible
They're attending a <CSI> playoff game </CSI> with thousands of passionate fans.,Playoff games intensify fan excitement and attendance in American sports culture.,Sports Tradition,Rituals,Semi-visible
Shoppers <CSI> respect the queue </CSI> during busy holiday shopping periods.,Respecting queues during high-traffic times shows consideration in Western retail culture.,Social Etiquette,Appropriacy,Semi-visible
The kids use a <CSI> quarter </CSI> flip to decide who goes first in games.,Quarter flips resolve minor decisions through chance in American casual interactions.,Cultural Reference,Art,Visible
"After the promotion, he organized <CSI> happy hour </CSI> for the entire team.","Happy hours are a popular after-work tradition in American corporate culture, fostering team bonding over drinks and casual conversation.",Workplace Culture,Customs,Semi-visible
